"AE","ID"
"Acute kidney injury","1"
"Acute liver injury or hepatic failure","2"
"Acute Pancreatitis","3"
"Addison’s disease","4"
"Adult Respiratory Distress Syndrome","5"
"Anaphylaxis","6"
"Angioedema","7"
"Aplastic anaemia/pancytopenia","8"
"Arrhythmias including ventricular fibrillation (Arrhythmias related to hypertrophic cardiomyopathy)","9"
"Arterial thromboembolic disease","10"
"Autoimmune bullous skin diseases, including pemphigus, pemphigoid and dermatitis herpetiformis","11"
"Autoimmune hepatitis","12"
"Autoimmune myocarditis/cardiomyopathy","13"
"Autoimmune myocarditis/cardiomyopathy","14"
"Autoimmune myocarditis/cardiomyopathy","15"
"Autoimmune thyroiditis","16"
"Bell’s palsy","17"
"Bullous eruption including Stevens Johnson","18"
"Cholangitis","19"
"Coeliac disease","20"
"Convulsions/Seizures","21"
"Crohn’s disease","22"
"Dermatomyositis/polymyositis","23"
"Diarrhoea","24"
"Encephalitis and myelitis","25"
"Epistaxis","26"
"Erythema nodosum","27"
"Fever","28"
"Goodpasture syndrome","29"
"Gout","30"
"Guillain Barre syndrome","31"
"Haemolytic anaemia","32"
"Jaundice","33"
"Mixed connective tissue disorder","34"
"Multiple sclerosis","35"
"Multisystem inflammatory syndrome","36"
"Myasthenia gravis","37"
"Myocardial infarction","38"
"Myocarditis or pericarditis","39"
"Narcolepsy","40"
"Neutropenia/agranulocytosis","41"
"Non-rheumatoid or Psoriatic arthropathy","42"
"Optic neuritis","43"
"Pernicious anaemia","44"
"Polymyalgia rheumatic","45"
"Primary Biliary Cirrhosis","46"
"Pulmonary fibrosis","47"
"Pulmonary hypertension","48"
"Pulmonary hypertension","49"
"Reye's syndrome","50"
"Rhabdomyolysis","51"
"Rheumatoid arthritis","52"
"Sarcoidosis","53"
"Scleroderma and systemic sclerosis","54"
"Sjögren’s syndrome","55"
"Spondyloarthritis and ankylosing spondylitis","56"
"Stroke","57"
"Sudden death","58"
"Systemic lupus erythematosus (local and systematic)","59"
"Thrombocytopenia","60"
"Thrombocytopenia","61"
"Transplant refection or failure","62"
"Type 1 diabetes","63"
"Ulcerative colitis","64"
"Unplanned ICU admission","65"
"Unspecified rash","66"
"Vasculitis","67"
"Vomiting","68"
"Wheezing","69"
